,City Name,Lat,Lng,Temperature,Humidity,Cloudiness,WindSpeed
0,jijiga,8.833194328607178,43.04895935798851,8.74,53,0,1.2
1,garowe,9.278565471226031,48.75480045747986,18.09,84,0,2.9
2,la palma,4.973311092577163,-82.36627079492169,20.04,99,12,0.35
3,porto walter,-8.833194328607163,-72.77119071915874,26.54,82,8,0.25
4,kosh-agach,50.10425354462052,89.34005832152835,-16.82,61,0,1.15
5,vanavara,61.23853211009177,102.66026207903411,-5.57,63,48,3.45
6,wajid,3.785654712260225,43.650124571672166,25.69,68,0,5.65
7,ponta delgada,30.8048373644704,-26.315999804556924,17,88,20,4.1
8,leh,35.55546288573812,77.75968924486673,-22.77,79,44,0.8
9,blenheim,42.087572977481244,-81.9148991080935,21.34,69,0,4.55
10,bougouni,11.802335279399514,-7.402085687426776,22.99,64,0,1.15
11,murgab,37.33694745621352,63.384999746895886,12,87,5,2.1
12,vardo,87.36697247706422,37.066130109367634,-1.5,100,90,5.1
13,borba,-4.3794829024186726,-60.19689238261083,7,75,0,4.1
14,ambulu,-11.505421184320255,113.18317682872305,26.04,100,0,2.45
15,sabalgarh,26.202668890742302,77.45531363844256,15.79,91,0,1.6
16,dulmen,51.88573811509593,7.271979463723881,-0.33,63,0,1.3
17,seidu,8.68473728106757,-10.618379363395889,24.39,87,44,4.5
18,niamey,13.5838198498749,1.7113508917247913,22.89,55,0,1.85
19,salinopolis,2.004170141784826,-45.42848957870193,27.14,99,92,5.4
20,cap malheureux,-17.295246038365292,55.815730039959874,26,83,75,4
23,heidelberg,-26.49958298582151,28.313018319098546,-3.07,77,0,3.75
24,rawson,-49.51042535446205,-56.10838256936171,9.64,53,0,3.55
25,carolina,-6.903252710592156,-47.265414124200504,27.59,65,40,7.7
26,balaipungut,0.5195996663886717,101.07207848219468,23.04,95,12,1.05
27,qaanaaq,72.81818181818184,-83.44653617448927,-25.72,83,36,2.2
29,le marin,14.326105087572984,-60.56599492645455,26.62,78,75,4.6
30,kruisfontein,-82.91326105087573,29.637042761100673,16.74,93,0,5.8
31,hermanus,-88.55462885738115,9.17309529317356,14.04,93,92,0.8
32,saint-georges,3.9341117597998476,-50.465522932254615,-6.32,70,20,2
33,jining,42.5329441201001,113.40486135220596,0.29,72,20,2.55
35,naryan-mar,68.51292743953294,50.13761606249011,-31.02,35,8,1.3
36,bayevo,53.221851542952464,80.92754971646394,-6.12,88,92,2.8
37,aketi,2.3010842368640567,23.89007128472528,22.19,95,68,1
38,saint-pierre,42.38448707256049,-55.62328751876541,0.44,74,0,6.7
39,paamiut,61.386989157631376,-48.30280073238133,-0.02,93,88,1.5
40,bredasdorp,-88.10925771476231,25.798953302288908,19,63,80,1.5
42,bani,17.146788990825698,-70.3310066033414,25.19,93,20,3.25
43,coahuayana,12.693077564637207,-105.97934511679595,31.19,19,0,1
44,statesboro,32.88323603002503,-81.69168294704363,25.59,41,1,7.2
45,shache,38.37614678899084,79.91640770314234,1.64,75,0,2.05
46,kavaratti,9.427022518765654,71.9249060388353,28.54,100,64,1.65
47,boffa,10.466221851542954,-14.140012930112462,23.54,96,8,2.2
48,bakaly,55.300250208507094,53.754443455293284,-18.47,56,8,2.1
49,ayagoz,48.02585487906589,78.08416031330017,-3.97,89,12,1.35
